Match_id;Date;Time;HomeTeam;AwayTeam;FTHG;FTAG;FTR;Referee
1;16/08/2024;20:00;Man United;Fulham;1;0;H;R Jones
2;17/08/2024;12:30;Ipswich;Liverpool;0;2;A;T Robinson
3;17/08/2024;15:00;Arsenal;Wolves;2;0;H;J Gillett
4;17/08/2024;15:00;Everton;Brighton;0;3;A;S Hooper
5;17/08/2024;15:00;Newcastle;Southampton;1;0;H;C Pawson
6;17/08/2024;15:00;Nott'm Forest;Bournemouth;1;1;D;M Oliver
7;17/08/2024;17:30;West Ham;Aston Villa;1;2;A;T Harrington
8;18/08/2024;14:00;Brentford;Crystal Palace;2;1;H;S Barrott
9;18/08/2024;16:30;Chelsea;Man City;0;2;A;A Taylor
10;19/08/2024;20:00;Leicester;Tottenham;1;1;D;C Kavanagh
11;24/08/2024;12:30;Brighton;Man United;2;1;H;C Pawson
12;24/08/2024;15:00;Crystal Palace;West Ham;0;2;A;R Jones
13;24/08/2024;15:00;Fulham;Leicester;2;1;H;D Bond
14;24/08/2024;15:00;Man City;Ipswich;4;1;H;M Salisbury
15;24/08/2024;15:00;Southampton;Nott'm Forest;0;1;A;S Barrott
16;24/08/2024;15:00;Tottenham;Everton;4;0;H;A Taylor
17;24/08/2024;17:30;Aston Villa;Arsenal;0;2;A;M Oliver
18;25/08/2024;14:00;Bournemouth;Newcastle;1;1;D;D Coote
19;25/08/2024;14:00;Wolves;Chelsea;2;6;A;D England
20;25/08/2024;16:30;Liverpool;Brentford;2;0;H;S Attwell
21;31/08/2024;12:30;Arsenal;Brighton;1;1;D;C Kavanagh
22;31/08/2024;15:00;Brentford;Southampton;3;1;H;J Smith
23;31/08/2024;15:00;Everton;Bournemouth;2;3;A;S Attwell
24;31/08/2024;15:00;Ipswich;Fulham;1;1;D;L Smith
25;31/08/2024;15:00;Leicester;Aston Villa;1;2;A;D Coote
26;31/08/2024;15:00;Nott'm Forest;Wolves;1;1;D;S Hooper
27;31/08/2024;17:30;West Ham;Man City;1;3;A;M Oliver
28;01/09/2024;13:30;Chelsea;Crystal Palace;1;1;D;J Gillett
29;01/09/2024;13:30;Newcastle;Tottenham;2;1;H;R Jones
30;01/09/2024;16:00;Man United;Liverpool;0;3;A;A Taylor
31;14/09/2024;12:30;Southampton;Man United;0;3;A;S Attwell
32;14/09/2024;15:00;Brighton;Ipswich;0;0;D;S Barrott
33;14/09/2024;15:00;Crystal Palace;Leicester;2;2;D;T Harrington
34;14/09/2024;15:00;Fulham;West Ham;1;1;D;T Robinson
35;14/09/2024;15:00;Liverpool;Nott'm Forest;0;1;A;M Oliver
36;14/09/2024;15:00;Man City;Brentford;2;1;H;D Bond
37;14/09/2024;17:30;Aston Villa;Everton;3;2;H;C Pawson
38;14/09/2024;20:00;Bournemouth;Chelsea;0;1;A;A Taylor
39;15/09/2024;14:00;Tottenham;Arsenal;0;1;A;J Gillett
40;15/09/2024;16:30;Wolves;Newcastle;1;2;A;C Kavanagh
41;21/09/2024;12:30;West Ham;Chelsea;0;3;A;S Barrott
42;21/09/2024;15:00;Aston Villa;Wolves;3;1;H;T Robinson
43;21/09/2024;15:00;Fulham;Newcastle;3;1;H;P Bankes
44;21/09/2024;15:00;Leicester;Everton;1;1;D;D England
45;21/09/2024;15:00;Liverpool;Bournemouth;3;0;H;T Harrington
